id,title,country,year,averageScore,popularity,score,berserk_cos,centroid_cos,top_tags,label_group
116827,Burn the Witch,JP,2020,68.0,16162,0.4386213138201239,0.28963001180217995,0.49221582819011817,"Dragons, Magic, Foreign, Shounen, Witch",
33574,Tobaku Datenroku Kaiji,JP,2004,80.0,6221,0.43858493696391077,0.3236591428318306,0.2999339346499863,"Gambling, Mahjong, Seinen, Survival, Primarily Male Cast",
103214,Saeki-san wa Nemutteru,JP,2018,69.0,8260,0.4384242592439562,0.07171267777197944,0.22590960444851826,"School, Male Protagonist, Shounen, Female Protagonist, Heterosexual",
110342,My Stepmom's Daughter Is My Ex,JP,2019,63.0,5820,0.438287916188033,0.07526499862110683,0.21322963962746244,"Inseki, Female Protagonist, Family Life, Male Protagonist, Heterosexual",
100932,Heesu in Class 2,KR,2017,82.0,9056,0.43828125558973813,0.1064942922877131,0.185682780632227,"Boys' Love, Male Protagonist, Unrequited Love, LGBTQ+ Themes, School",
147587,Marriage of Convenience,KR,2022,78.0,11737,0.4382327761812586,0.20184061147061994,0.22657744552141185,"Female Protagonist, Arranged Marriage, Heterosexual, Full Color, Age Regression",
138564,Landlord Sisters,KR,2021,79.0,7264,0.4379925129656759,0.16583979774920105,0.20181062118017618,"Nudity, Full Color, Heterosexual, Male Protagonist, Female Harem",
145966,Is This Hero for Real?,KR,2022,67.0,13514,0.43794724411455177,0.27388836193538474,0.45250254757914943,"Isekai, Language Barrier, Revenge, Anti-Hero, Full Color",
99544,Tensei Kyuuketsuki-san wa Ohirune ga Shitai,JP,2017,65.0,5847,0.4378811838702323,0.15769643191021782,0.24930818838515875,"Isekai, Vampire, Gender Bending, Yuri, Magic",
143099,Your Eternal Lies,KR,2021,81.0,7718,0.4378761695456563,0.2910123498896041,0.350137303592272,"Female Protagonist, Crime, Anti-Hero, Primarily Adult Cast, War",
107234,"Go for It Again, Nakamura!",JP,2017,71.0,7335,0.4376850331693392,0.08550228581416619,0.13071094495414268,"LGBTQ+ Themes, Male Protagonist, Boys' Love, Cute Boys Doing Cute Things, Coming of Age",
136087,The Ember Knight,KR,2021,77.0,10588,0.43757545543734205,0.37743324251269,0.597676649937191,"Revenge, Male Protagonist, Full Color, Tragedy, Swordplay",
136943,"Love, That's an Understatement",JP,2021,79.0,10138,0.43743102246647064,0.022451940020653913,0.05279698479142,"Shoujo, Delinquents, Female Protagonist, Primarily Teen Cast, School",
99354,"The Greatest Lady Boss ""Takizawasan""",JP,2016,67.0,9096,0.4372903201802343,0.16384706063884275,0.17697974196161534,"4-koma, Large Breasts, Primarily Adult Cast, Office Lady, Male Protagonist",
110744,Rebirth Of The Urban Immortal Cultivator,CN,2018,63.0,7566,0.43728848323247754,0.24219387425849967,0.4998138678786846,"Cultivation, Martial Arts, Male Protagonist, Reincarnation, Full Color",
52651,THE BREAKER - NEW WAVES,KR,2010,81.0,22218,0.43718680102563007,0.2189056204058183,0.3971804505680495,"Martial Arts, Gangs, Male Protagonist, Terrorism, Anti-Hero",
33258,A Distant Neighborhood,JP,1998,78.0,9655,0.4371841910432415,0.33093619694363857,0.29194252237456564,"Time Manipulation, Age Regression, Male Protagonist, Family Life, Seinen",
